id,car_name,brand,model,kilometers_driven,transmision,fuel,color,engine_capacity,price
502,Used Chevrolet Optra 1.5L Standard 2019,chevrolet,2019,"68,000 KM",Automatic,Petrol,Blue,1485,"250,000"
503,Used Chevrolet Captiva 1.5T Premier 2023,chevrolet,2023,"11,000 KM",CVT,Petrol,Black,1500,"950,000"
504,Used Chevrolet Cruze 2016,chevrolet,2016,"120,000 KM",Automatic,Petrol,Black,1600,"325,000"
505,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
506,Used Chevrolet Aveo Aveo 1.5L Manual 2008,chevrolet,2008,"200,000 KM",Manual,Petrol,Black,1500,"120,000"
507,Used Chevrolet Optra Optra 1.6L Automatic 2007,chevrolet,2007,"231,000 KM",Automatic,Petrol,Silver,1600,"250,000"
508,Used Chevrolet Captiva 1.5T Premium 2021,chevrolet,2021,"34,000 KM",CVT,Petrol,Red,1500,"550,000"
509,Used Chevrolet Optra 1.5L Highline 2020,chevrolet,2020,"30,000 KM",Automatic,Petrol,Burgundy,1485,"290,000"
510,Used Chevrolet Jumbo 1994,chevrolet,1994,"100,000 KM",Manual,Diesel,Gray,4800,"135,000"
511,Used Chevrolet Optra 1.5L Luxury 2022,chevrolet,2022,"9,000 KM",Automatic,Petrol,Red,N/A,"440,000"
512,Used Chevrolet Lanos 2014,chevrolet,2014,"157,000 KM",Manual,Petrol,Silver,1600,"140,000"
513,Used Chevrolet Cruze 2014,chevrolet,2014,"155,000 KM",Automatic,Petrol,Black,N/A,"240,000"
514,Used Chevrolet Aveo 2020,chevrolet,2020,"24,000 KM",Automatic,Petrol,Blue,1500,"280,000"
515,Used Chevrolet Lanos 1.5L Standard M/T 2017,chevrolet,2017,"10,000 KM",Manual,Petrol,Gray,1498,"140,000"
516,Used Chevrolet Cruze 1.6L 2010,chevrolet,2010,"176,000 KM",Automatic,Petrol,Burgundy,1600,"145,000"
517,Used Chevrolet Captiva 1.5T Premium 2021,chevrolet,2021,"1,800 KM",CVT,Petrol,Red,1500,"350,000"
518,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
519,Used Chevrolet Aveo 1.5L A/T 2008,chevrolet,2008,"2,029 KM",Automatic,Petrol,Black,1498,"120,000"
520,Used Chevrolet Aveo Aveo 1.5L Manual 2013,chevrolet,2013,"150,000 KM",Manual,Petrol,Silver,1500,"145,000"
521,Used Chevrolet Spark 1.0L Base 2008,chevrolet,2008,"127,000 KM",Manual,Petrol,Black,1000,"83,000"
522,Used Chevrolet Lanos 1.5L Manual 2002,chevrolet,2002,"99,999 KM",Manual,Petrol,Black,1500,"65,000"
523,Used Chevrolet Optra Optra 1.6L Manual 2007,chevrolet,2007,"200,000 KM",Manual,Petrol,Green,1600,"160,000"
524,Used Chevrolet C10 Pickup Truck 1981,chevrolet,1981,"300,000 KM",Manual,Petrol,White,N/A,"85,000"
525,Used Chevrolet Astro 1996,chevrolet,1996,"420,000 KM",Automatic,Petrol,White,4600,"140,000"
526,Used Chevrolet Spark 2011,chevrolet,2011,"210,000 KM",Manual,Petrol,Red,1000,"140,000"
527,Used Chevrolet Cruze 2016,chevrolet,2016,"121,000 KM",Automatic,Petrol,Black,1600,"525,000"
528,Used Chevrolet Blazer 3.6L V6 RS (FWD) 2021,chevrolet,2021,"6,000 KM",Automatic,Petrol,Red,3600,"350,000"
529,Used Chevrolet Aveo 1.4L Automatic 2010,chevrolet,2010,"200,000 KM",Automatic,Petrol,Silver,1500,"125,000"
530,Used Chevrolet Lanos 1.5L Manual 2013,chevrolet,2013,"25,000 KM",Manual,Petrol,Red,1500,"135,000"
531,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
532,Used Chevrolet Optra 1.5L Standard 2017,chevrolet,2017,"35,000 KM",Automatic,Petrol,Blue,1485,"180,001"
533,Used Chevrolet Cruze 2014,chevrolet,2014,"81,000 KM",Automatic,Petrol,Silver,1600,"215,000"
534,Used Chevrolet Optra Optra 1.6L Automatic 2010,chevrolet,2010,"43,333 KM",Automatic,Petrol,Red,1600,"128,000"
535,Used Chevrolet Aveo Aveo 1.5L Manual 2013,chevrolet,2013,"91,000 KM",Manual,Petrol,Red,1500,"150,000"
536,Used Chevrolet Bolt EV 2016,chevrolet,2016,"117,000 KM",Automatic,Petrol,Blue,1500,"150,000"
537,Used Chevrolet Aveo 1.5L Aveo 1.5L Manual 2010,chevrolet,2010,"78,000 KM",Manual,Petrol,Gray,1500,"95,000"
538,Used Chevrolet Aveo Aveo 1.5L Manual 2010,chevrolet,2010,"78,000 KM",Manual,Petrol,Gray,1500,"100,000"
539,Used Chevrolet Lanos 2014,chevrolet,2014,"70,000 KM",Manual,Petrol,Other,1500,"120,000"
540,Used Chevrolet Cruze 1.6L Highline 2017,chevrolet,2017,"58,400 KM",Automatic,Petrol,Gray,1598,"230,000"
541,Used Chevrolet Optra Optra 1.6L Automatic 2005,chevrolet,2005,"300,000 KM",Automatic,Petrol,Green,1600,"115,000"
542,Used Chevrolet Aveo Aveo 1.5L Manual 2012,chevrolet,2012,"180,000 KM",Manual,Petrol,Black,1500,"113,000"
543,Used Chevrolet Optra Optra 1.6L Automatic 2011,chevrolet,2011,"156,000 KM",Automatic,Petrol,Gold,1600,"127,000"
544,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
545,Used Chevrolet C10 Pickup Truck 2020,chevrolet,2020,"100,000 KM",Manual,Petrol,White,3000,"280,000"
546,Used Chevrolet Cruze 1.6L 2010,chevrolet,2010,"197,000 KM",Manual,Petrol,Black,1600,"122,000"
547,Used Chevrolet Lanos 1.5L Standard M/T 2009,chevrolet,2009,"105,000 KM",Manual,Petrol,Gray,1498,"87,500"
548,Used Chevrolet Spark 1.0L Base 2008,chevrolet,2008,"270,000 KM",Manual,Petrol,Blue,1000,"72,000"
549,Used Chevrolet Lanos 1.5L Manual 2010,chevrolet,2010,"177,000 KM",Manual,Petrol,White,1500,"72,000"
550,Used Chevrolet Aveo Aveo 1.5L Manual 2008,chevrolet,2008,"140,000 KM",Manual,Petrol,Red,1500,"85,000"
551,Used Chevrolet Lanos 1.5L Manual 2011,chevrolet,2011,"128,000 KM",Manual,Petrol,White,1500,"100,000"
552,Used Chevrolet Dabbabah 1991,chevrolet,1991,"10,000 KM",Manual,Petrol,Red,2500,"65,000"
553,Used Chevrolet Lanos 2014,chevrolet,2014,"300,000 KM",N/A,N/A,Silver,N/A,"90,000"
554,Used Chevrolet Lanos 1.5L Manual 2010,chevrolet,2010,"250,000 KM",Manual,Hybrid,Gray,1500,"65,000"
555,Used Chevrolet Lanos 1.5L Manual 2009,chevrolet,2009,"130,000 KM",Manual,Petrol,Silver,1500,"77,000"
556,Used Chevrolet Lanos 2019,chevrolet,2019,"26,000 KM",Manual,Petrol,Silver,1500,"134,000"
557,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
558,Used Chevrolet Aveo 1.5L 2020,chevrolet,2020,"39,999 KM",Automatic,Petrol,Gray,1500,"186,998"
559,Used Chevrolet Aveo 1.5L Aveo 1.5L Automatic 2013,chevrolet,2013,"145,000 KM",Automatic,Petrol,Black,1500,"130,000"
560,Used Chevrolet Cruze 1.6L 2010,chevrolet,2010,"73,000 KM",Manual,Petrol,Black,1600,"95,000"
561,Used Chevrolet Optra Optra 1.6L Manual 2007,chevrolet,2007,"150,000 KM",Manual,Petrol,Gold,1600,"107,000"
562,Used Chevrolet Aveo 1.5L Aveo 1.5L Manual 2009,chevrolet,2009,"59,000 KM",Manual,Petrol,Red,1500,"115,000"
563,Used Chevrolet Aveo Aveo 1.5L Manual 2009,chevrolet,2009,"165,000 KM",Manual,Petrol,Blue,1500,"120,000"
564,Used Chevrolet Lanos 1.5L Standard M/T 2019,chevrolet,2019,"30,600 KM",Manual,Petrol,Blue,1498,"146,000"
565,Used Chevrolet Lanos 1.5L Manual 2004,chevrolet,2004,"187,000 KM",Manual,Petrol,Black,1500,"68,000"
566,Used Chevrolet Aveo 2007,chevrolet,2007,"150,000 KM",Manual,Petrol,Gray,1600,"75,000"
567,Used Chevrolet Sonic 1.6L Base Hatchback (LS) 2012,chevrolet,2012,170 KM,Automatic,Petrol,Silver,1600,"130,000"
568,Used Chevrolet Optra 1.5L Standard 2019,chevrolet,2019,"17,000 KM",Automatic,Petrol,Blue,1485,"200,000"
569,Used Chevrolet Optra 1.5L Luxury 2017,chevrolet,2017,"125,000 KM",Automatic,Petrol,Blue,1485,"162,000"
570,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
571,Used Chevrolet Move 2015,chevrolet,2015,"58,000 KM",Manual,Petrol,Gray,N/A,"145,000"
572,Used Chevrolet Optra 1.5L Standard 2018,chevrolet,2018,"51,700 KM",Automatic,Petrol,Blue,1485,"170,000"
573,Used Chevrolet Optra 2016,chevrolet,2016,"82,000 KM",Automatic,Petrol,Red,1600,"145,000"
574,Used Chevrolet Aveo Aveo 1.5L Manual 2009,chevrolet,2009,"150,000 KM",Manual,Petrol,Red,1500,"110,000"
575,Used Chevrolet Optra 1.5L Luxury 2017,chevrolet,2017,"60,000 KM",Automatic,Petrol,Gray,1485,"168,000"
576,Used Chevrolet Optra 1.5L Standard 2017,chevrolet,2017,"95,000 KM",CVT,Petrol,Gray,1485,"170,000"
577,Used Chevrolet Aveo 1.4L LS Automatic 2015,chevrolet,2015,"135,000 KM",Automatic,Petrol,Gray,1500,"143,000"
578,Used Chevrolet Aveo Aveo 1.5L Manual 2010,chevrolet,2010,"185,000 KM",Manual,Petrol,Black,1500,"83,000"
579,Used Chevrolet Aveo Aveo 1.5L Manual 2013,chevrolet,2013,"100,000 KM",Manual,Petrol,Black,1500,"110,000"
580,Used Chevrolet Optra 1.5L Standard 2019,chevrolet,2019,"58,000 KM",Automatic,Petrol,Gold,1485,"170,000"
581,Used Chevrolet Lanos 1.5L Manual 2013,chevrolet,2013,"118,000 KM",Manual,Petrol,Other,1500,"95,000"
582,Used Chevrolet Lanos 2014,chevrolet,2014,"89,000 KM",Manual,Petrol,Silver,1500,"100,000"
583,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
584,Used Chevrolet Lanos 1.5L Manual 2016,chevrolet,2016,"65,000 KM",Manual,Petrol,Burgundy,1500,"116,000"
585,Used Chevrolet Optra Optra 1.6L Automatic 2013,chevrolet,2013,"58,000 KM",Automatic,Petrol,Gray,1600,"170,000"
586,Used Chevrolet Aveo 1.6L Base 2013,chevrolet,2013,"50,000 KM",Automatic,Petrol,Gray,1598,"50,000"
587,Used Chevrolet Optra Optra 1.6L Automatic 2006,chevrolet,2006,"260,000 KM",Automatic,Hybrid,Red,1600,"170,000"
588,Used Chevrolet Aveo 2009,chevrolet,2009,"130,000 KM",Manual,Petrol,Gray,N/A,"93,000"
589,Used Chevrolet Lanos 1.5L Manual 2010,chevrolet,2010,"83,000 KM",Manual,Petrol,Red,1500,"95,000"
590,Used Chevrolet Spark 1.0L Base 2008,chevrolet,2008,"83,800 KM",Manual,Petrol,Blue,1000,"75,000"
591,Used Chevrolet Lanos 2012,chevrolet,2012,"119,994 KM",Manual,Petrol,Gray,1500,"87,500"
592,Used Chevrolet Aveo 1.5L 2014,chevrolet,2014,"128,000 KM",Automatic,Petrol,Blue,N/A,"120,000"
593,Used Chevrolet Lanos 1.5L Manual 2011,chevrolet,2011,"100,000 KM",Manual,Petrol,White,1500,"55,000"
594,Used Chevrolet Optra 2019,chevrolet,2019,"6,499 KM",Automatic,Petrol,Blue,1500,"200,000"
595,Used Chevrolet Optra 1.5L Luxury 2017,chevrolet,2017,"97,000 KM",Automatic,Petrol,Gray,1485,"165,000"
596,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
597,New Chevrolet Lanos 1.5L Manual 2010,chevrolet,2010,"88,000 KM",Manual,Petrol,Other,1500,"87,000"
598,Used Chevrolet Aveo 1.5L 2015,chevrolet,2015,"69,000 KM",Automatic,Petrol,Red,N/A,"149,000"
599,Used Chevrolet Lanos 2019,chevrolet,2019,"30,000 KM",Manual,Petrol,Gray,1500,"149,000"
600,Used Chevrolet Aveo Aveo 1.5L Manual 2007,chevrolet,2007,"295,000 KM",Manual,Petrol,Silver,1500,"90,000"
601,Used Chevrolet Lanos 1.5L Manual 2009,chevrolet,2009,"220,000 KM",Manual,Petrol,Black,1500,"85,000"
602,Used Chevrolet Optra Optra 1.6L Automatic 2007,chevrolet,2007,"165,000 KM",Automatic,Petrol,Red,1600,"110,000"
603,Used Chevrolet Optra 1.5L Luxury 2017,chevrolet,2017,"97,000 KM",Automatic,Petrol,Gray,1500,"175,000"
604,Used Chevrolet Lanos 1.5L Manual 2012,chevrolet,2012,"60,000 KM",Manual,Petrol,Turqoise,1500,"90,000"
605,Used Chevrolet Aveo Aveo 1.5L Manual 2012,chevrolet,2012,"124,000 KM",Manual,Petrol,Red,1500,"115,000"
606,Used Chevrolet Lanos 2015,chevrolet,2015,"45,000 KM",Manual,Petrol,Brown,1500,"125,000"
607,Used Chevrolet Lanos 1.5L Highline M/T 2012,chevrolet,2012,"122,000 KM",Manual,Petrol,Silver,1498,"87,000"
608,Used Chevrolet Optra 1.5L Luxury 2018,chevrolet,2018,"78,000 KM",Automatic,Petrol,Bronze,1485,"170,000"
609,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
610,Used Chevrolet Optra 1.5L Luxury 2018,chevrolet,2018,"74,000 KM",Automatic,Petrol,Blue,1485,"175,000"
611,Used Chevrolet Aveo 2016,chevrolet,2016,"75,000 KM",N/A,N/A,Gray,1500,"168,000"
612,Used Chevrolet Aveo Aveo 1.5L Manual 2009,chevrolet,2009,"127,000 KM",Manual,Petrol,Silver,1500,"87,000"
613,Used Chevrolet Cruze 1.8 LS 2015,chevrolet,2015,"120,000 KM",Automatic,Petrol,Gray,1600,"178,000"
614,Used Chevrolet Lanos 1.5L Manual 2013,chevrolet,2013,"69,000 KM",Manual,Petrol,Red,1500,"95,000"
615,Used Chevrolet Lanos 1.5L Manual 2013,chevrolet,2013,"69,000 KM",Manual,Petrol,Red,1500,"95,000"
616,Used Chevrolet Lanos 1.5L Highline M/T 2011,chevrolet,2011,"58,000 KM",Manual,Petrol,Other,1498,"93,500"
617,Used Chevrolet Optra Optra 1.6L Manual 2009,chevrolet,2009,"130,000 KM",Manual,Petrol,Gray,1600,"115,000"
618,Used Chevrolet Cruze 1.6L 2016,chevrolet,2016,"141,000 KM",Automatic,Petrol,Bronze,1600,"175,000"
619,Used Chevrolet Lanos 1.5L Manual 2010,chevrolet,2010,"74,000 KM",Manual,Petrol,Silver,1500,"90,000"
620,Used Chevrolet Aveo 1.4L LS Automatic 2016,chevrolet,2016,"130,000 KM",Automatic,Petrol,Gray,1500,"85,000"
621,Used Chevrolet Lanos 2009,chevrolet,2009,"99,000 KM",Manual,Petrol,Beige,1500,"55,000"
622,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
623,Used Chevrolet Aveo 1.5L 2019,chevrolet,2019,"72,000 KM",Manual,Petrol,Red,1500,"140,000"
624,Used Chevrolet Aveo 1.5L Aveo 1.5L Automatic 2009,chevrolet,2009,"153,000 KM",Automatic,Petrol,Blue,1500,"106,000"
625,Used Chevrolet Lanos 1.5L Highline M/T 2012,chevrolet,2012,"165,000 KM",Manual,Petrol,Gray,1498,"91,000"
626,New Chevrolet Optra 2021,chevrolet,2021,0 KM,Automatic,Petrol,Other,1600,"50,000"
627,Used Chevrolet Aveo 1.6 LT Sedan 2009,chevrolet,2009,156 KM,Manual,Petrol,Other,1500,"105,000"
628,Used Chevrolet Cruze 1.6L 2010,chevrolet,2010,"103,000 KM",Manual,Petrol,Other,1600,"115,000"
629,Used Chevrolet Optra Optra 1.6L Automatic 2009,chevrolet,2009,170 KM,Automatic,Petrol,White,1600,"95,000"
630,New Chevrolet Aveo 1.4L LS Automatic 2014,chevrolet,2014,"188,000 KM",Automatic,Petrol,Red,1500,"120,000"
631,Used Chevrolet Lanos 2014,chevrolet,2014,"870,000 KM",Manual,N/A,Gray,1500,"110,000"
632,Used Chevrolet Spark 2008,chevrolet,2008,150 KM,N/A,N/A,Red,N/A,"73,000"
633,Used Chevrolet Spark 2008,chevrolet,2008,"150,000 KM",Manual,Petrol,Red,N/A,"73,000"
634,Used Chevrolet Lanos 1.5L Manual 2016,chevrolet,2016,"30,000 KM",Manual,Petrol,Gray,1500,"133,500"
635,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
636,Used Chevrolet Cruze 1.6L 2010,chevrolet,2010,"148,000 KM",Automatic,Petrol,Gray,1600,"120,000"
637,Used Chevrolet Optra Optra 1.6L Automatic 2013,chevrolet,2013,"269,000 KM",Automatic,Petrol,Red,1600,"125,000"
638,Used Chevrolet Aveo 2009,chevrolet,2009,"178,000 KM",Manual,Petrol,Gray,1600,"105,000"
639,Used Chevrolet Optra Optra 1.6L Manual 2006,chevrolet,2006,"193,000 KM",Manual,Petrol,Gray,1600,"105,000"
640,Used Chevrolet Lanos 1.5L Manual 2011,chevrolet,2011,"300,000 KM",Manual,Petrol,White,1500,"85,000"
641,Used Chevrolet Aveo 1.4L LS Automatic 2015,chevrolet,2015,"48,000 KM",N/A,N/A,Gray,N/A,"153,000"
642,Used Chevrolet Cruze 1.6L Highline 2015,chevrolet,2015,"84,000 KM",Automatic,Petrol,Silver,1598,"177,000"
643,Used Chevrolet Aveo 1.4L LS Automatic 2015,chevrolet,2015,"47,000 KM",Automatic,Petrol,Gray,1500,"153,000"
644,Used Chevrolet Optra 1.5L Luxury 2019,chevrolet,2019,"44,998 KM",Automatic,Petrol,Blue,1485,"187,000"
645,Used Chevrolet Dabbabah 2.5L Single Cab High Line 2012,chevrolet,2012,"200,000 KM",Manual,Diesel,White,2500,"190,000"
646,Used Chevrolet Aveo 1.5L Aveo 1.5L Automatic 2015,chevrolet,2015,"150,000 KM",Automatic,Petrol,Red,1500,"140,000"
647,Used Chevrolet Move Basic 1999,chevrolet,1999,"5,000 KM",Automatic,Petrol,Black,3200,"110,000"
648,New Toyota Hilux 2023,chevrolet,2023,0 KM,Manual,Diesel,White,2400,"99,500"
649,Used Chevrolet Cruze 1.6L 2016,chevrolet,2016,"184,000 KM",Automatic,Petrol,Silver,1600,"205,000"
650,Used Chevrolet Optra 1.5L Basic 2016,chevrolet,2016,"146,998 KM",Automatic,Petrol,White,1485,"145,000"
651,New Chevrolet Lanos 1.5L Manual 2011,chevrolet,2011,160 KM,Manual,Petrol,Other,1500,"80,000"
652,Used Chevrolet Lanos 1.5L Highline M/T 2016,chevrolet,2016,"29,000 KM",Manual,Petrol,Blue,1498,"120,000"
653,Used Renault Fluence 1.6L LE 2014,renault,2014,"180,000 KM",CVT,Petrol,Gold,1600,"470,000"
654,Used Renault Kadjar TCe 130 Top 2017,renault,2017,"74,000 KM",Automatic,Petrol,Blue,1200,"850,000"
655,Used Renault Logan E2 A/T 2017,renault,2017,"70,000 KM",Automatic,Petrol,Black,1600,"420,000"
656,New Toyota Hilux 2023,renault,2023,0 KM,Manual,Diesel,White,2400,"99,500"
657,Used Renault Logan E3 A/T (Black Edition) 2020,renault,2020,"44,000 KM",Automatic,Hybrid,Other,1600,"500,000"
658,Used Renault Megane Hatchback 2015,renault,2015,"126,000 KM",Automatic,Petrol,White,1600,"500,000"
659,Used Renault Sandero Stepway Top 2021,renault,2021,"79,000 KM",Automatic,Petrol,Other,1600,"560,000"
660,Used Renault Clio 2003,renault,2003,"230,000 KM",Manual,Petrol,Silver,N/A,"155,000"
661,Used Renault Logan 4 Door 1.6L Manual 2017,renault,2017,"127,000 KM",Manual,Petrol,Gray,1600,"290,000"
662,Used Renault Duster 1.6L Dynamic (4x2) 2022,renault,2022,"30,000 KM",Automatic,Petrol,Silver,1600,"920,000"
663,Used Renault Duster 2.0L 2WD 2020,renault,2020,"86,000 KM",Automatic,Petrol,Tan,2000,"830,000"
664,Used Renault Fluence 1.6L LE 2016,renault,2016,"187,000 KM",Automatic,Petrol,Silver,1600,"590,000"
665,Used Renault Duster 1.6L H3 (4x2) 2018,renault,2018,"85,000 KM",CVT,Petrol,Brown,1600,"695,000"
666,Used Renault Fluence 1.6L LE 2016,renault,2016,"123,000 KM",CVT,Petrol,Brown,1600,"465,000"
667,Used Renault Sandero 4 Door 1.6L Automatic 2017,renault,2017,"180,000 KM",Automatic,Petrol,Silver,1600,"350,000"
668,Used Renault Logan E1 A/T 2019,renault,2019,"58,000 KM",Automatic,Petrol,Gray,1600,"470,000"
669,New Toyota Hilux 2023,renault,2023,0 KM,Manual,Diesel,White,2400,"99,500"
670,Used Renault Megane 2021,renault,2021,"26,000 KM",Automatic,Petrol,White,N/A,"1,000,025"
671,Used Renault Megane 1.6L Dynamic A/T 2020,renault,2020,"80,000 KM",Automatic,Petrol,White,1598,"750,000"
672,Used Renault Sandero Stepway 1600 CC Manual 2015,renault,2015,"175,000 KM",Manual,Petrol,Black,1600,"230,000"
673,Used Renault Duster 1.6L Dynamic (4x2) 2020,renault,2020,"80,000 KM",CVT,Petrol,Black,1600,"750,000"
674,Used Renault Logan 4 Door 1.6L Manual 2015,renault,2015,"150,500 KM",Manual,Petrol,Silver,1600,"260,000"
675,Used Renault Logan 4 Door 1.6L Automatic 2021,renault,2021,"142,000 KM",Automatic,Petrol,Brown,1600,"425,000"
676,Used Renault Fluence 1.6L PE 2015,renault,2015,"230,000 KM",CVT,Petrol,Silver,1600,"480,000"
677,Used Renault Megane 1.3T Dynamic A/T 2022,renault,2022,16 KM,Automatic,Petrol,White,1300,"950,000"
678,Used Renault Megane 1.3T Dynamic A/T 2022,renault,2022,"16,000 KM",Automatic,Petrol,White,1300,"1,100,000"
679,Used Renault Logan 4 Door 1.6L Manual 2018,renault,2018,"80,000 KM",Manual,Petrol,Bronze,1600,"350,000"
680,Used Renault Megane 2011,renault,2011,"106,000 KM",Automatic,Petrol,Gold,1600,"355,000"
681,Used Renault Sandero Stepway 1600 CC Manual 2015,renault,2015,"142,000 KM",Manual,Petrol,Maroon,1600,"330,000"
682,New Toyota Hilux 2023,renault,2023,0 KM,Manual,Diesel,White,2400,"99,500"
683,Used Renault Logan 4 Door 1.6L Manual 2015,renault,2015,"64,700 KM",Manual,Petrol,Black,1600,"325,000"
684,Used Renault Logan 4 Door 1.6L Manual 2015,renault,2015,"64,700 KM",Manual,Petrol,Black,1600,"325,000"
685,Used Renault Megane 1.6L E2 A/T 2021,renault,2021,"105,000 KM",Automatic,Petrol,Maroon,1598,"830,000"
686,Used Renault Logan 4 Door 1.6L Automatic 2015,renault,2015,"200,000 KM",Automatic,Petrol,White,1600,"350,000"
687,New Renault Sandero Stepway Basic 2023,renault,2023,0 KM,Automatic,Petrol,Silver,1600,"659,997"
688,Used Renault Duster 1.6L Dynamic (4x2) 2020,renault,2020,"84,000 KM",CVT,Petrol,Gray,1600,"900,000"
689,Used Renault Fluence 1.6L LE 2015,renault,2015,"120,000 KM",CVT,Petrol,Burgundy,1600,"480,000"
690,Used Renault Logan 1.6L Vision M/T 2015,renault,2015,"148,000 KM",Manual,Petrol,Silver,1600,"245,000"
691,Used Renault Sandero 2012,renault,2012,"76,000 KM",Manual,Petrol,Silver,1600,"230,000"
692,Used Renault Megane 5 Door 2.0L 2018,renault,2018,"83,000 KM",Automatic,Petrol,Red,2000,"890,000"
693,Used Renault Logan 4 Door 1.6L Automatic 2021,renault,2021,"17,000 KM",Automatic,Petrol,Red,1600,"390,000"
694,Used Renault Logan 4 Door 1.6L Automatic 2019,renault,2019,"55,000 KM",Automatic,Petrol,Other,1600,"400,000"
695,New Toyota Hilux 2023,renault,2023,0 KM,Manual,Diesel,White,2400,"99,500"
696,Used Renault Duster 1600 CC 2WD Manual 2019,renault,2019,"109,000 KM",CVT,Petrol,Blue,1600,"660,000"
697,Used Renault Duster 2.0L 2WD 2020,renault,2020,"20,000 KM",CVT,Petrol,Blue,1600,"800,000"
698,Used Renault Megane 2015,renault,2015,"250,000 KM",Automatic,Petrol,White,1600,"500,000"
699,Used Renault Logan 4 Door 1.6L Manual 2012,renault,2012,"155,000 KM",Manual,Petrol,Silver,1600,"150,000"
700,Used Renault Duster 2020,renault,2020,"44,000 KM",Automatic,Petrol,Brown,N/A,"700,000"
701,Used Renault Duster 2.0L 4WD 2021,renault,2021,"50,000 KM",Automatic,Petrol,Black,1600,"740,000"
702,Used Renault Sandero 2012,renault,2012,"178,000 KM",Manual,Petrol,Red,1595,"165,000"
703,Used Renault Duster 2.0L 2WD 2018,renault,2018,"70,000 KM",Automatic,Petrol,Maroon,1600,"600,000"
704,Used Renault Fluence 1.6L LE 2016,renault,2016,"170,000 KM",CVT,Petrol,Gray,1600,"460,000"
705,Used Renault Fluence 2.0 SE 2016,renault,2016,"170,000 KM",CVT,Petrol,Gray,1600,"460,000"
706,Used Renault Fluence 1.6L LE 2015,renault,2015,"113,000 KM",Automatic,Petrol,Beige,1600,"385,000"
707,Used Renault Megane 1.6L LE 2006,renault,2006,"220,000 KM",Automatic,Petrol,Black,1598,"120,000"
708,New Toyota Hilux 2023,renault,2023,0 KM,Manual,Diesel,White,2400,"99,500"
709,Used Renault Logan Basic 2010,renault,2010,"32,000 KM",Manual,Petrol,Other,1600,"180,000"
710,Used Renault Duster 1.6L H3 (4x2) 2020,renault,2020,"41,500 KM",CVT,Petrol,Black,1600,"640,000"
711,Used Renault Logan 4 Door 1.6L Manual 2010,renault,2010,"174,000 KM",Manual,Petrol,Gray,1600,"150,000"
712,Used Renault Megane 1.6L Vision A/T 2021,renault,2021,"24,000 KM",Automatic,Petrol,Brown,1600,"750,000"
713,Used Renault Duster 1.6L H3 4x2 2020,renault,2020,"42,000 KM",CVT,Petrol,Black,1600,"625,000"
714,Used Renault Duster 1.6L H2 4x2 2020,renault,2020,"28,500 KM",CVT,Petrol,Bronze,1600,"620,000"
715,Used Renault Duster 1.6L Dynamic 4x2 2021,renault,2021,"18,000 KM",CVT,Petrol,Blue,1600,"700,000"
716,Used Renault Laguna 2 Door 3.5L 2012,renault,2012,"111,000 KM",Manual,Petrol,Burgundy,1600,"170,000"
717,Used Renault Lodgy 2017,renault,2017,"93,999 KM",Automatic,Petrol,Blue,1600,"320,000"
718,Used Renault Megane 1.6L Vision A/T 2021,renault,2021,"24,000 KM",Automatic,Petrol,Brown,1598,"650,000"
719,Used Renault Logan 2010,renault,2010,"160,000 KM",Manual,Petrol,Silver,1600,"170,000"
720,Used Renault Fluence 2015,renault,2015,"110,000 KM",Automatic,Petrol,Black,1600,"370,000"
721,New Toyota Hilux 2023,renault,2023,0 KM,Manual,Diesel,White,2400,"99,500"
722,New Renault Megane 1.6L Vision A/T 2022,renault,2022,0 KM,Automatic,Petrol,White,1800,"720,000"
723,Used Renault Logan 2012,renault,2012,"210,000 KM",Manual,Petrol,Gray,N/A,"147,000"
724,Used Renault Kadjar TCe 130 Mid 2018,renault,2018,"96,000 KM",Automatic,Petrol,White,1200,"440,000"
725,Used Renault Kadjar 1.2T Signature 2020,renault,2020,"74,000 KM",Automatic,Petrol,Gray,1200,"700,000"
726,Used Renault Lodgy Dynamic 2017,renault,2017,"95,000 KM",Automatic,Petrol,Silver,1600,"300,000"
727,Used Renault Duster 2.0L SE 4x2 2017,renault,2017,"120,000 KM",Automatic,Petrol,Black,1998,"360,000"
728,Used Renault Duster 2019,renault,2019,"130,000 KM",Automatic,Petrol,Blue,N/A,"390,000"
